Customer ID,Total Revenue
CUS-1470950,"$732,199"
CUS-1526100,$0
CUS-1430550,$0
CUS-1485600,"$116,732"
CUS-1548450,"$3,128,751"
CUS-1521000,$0
CUS-1513350,$0
CUS-1490400,"$52,666"
CUS-1514100,$0
CUS-1468500,$78
CUS-1530300,"$24,865"
CUS-1435400,$0
CUS-355050,"$87,728"
CUS-1451500,"$690,753"
CUS-1520400,"$215,598"
CUS-1517150,"$65,280"
CUS-150500,"$175,293,442"
CUS-152900,"$168,057"
CUS-1523550,$0
CUS-1497450,"$120,467"
CUS-1456200,"$164,049"
CUS-1485400,$0
CUS-1491900,$0
CUS-1516200,$29
CUS-1573650,"$19,355"
CUS-1489400,"$531,270"
CUS-1501100,"$27,956,189"
CUS-1559050,"$1,812,341"
CUS-1481050,"$32,310"
CUS-845700,"$17,927"
CUS-1559300,$0
CUS-1481750,"$4,313,793"
CUS-783250,"$2,164,667"
CUS-372100,"$5,657,043"
CUS-1515900,$0
CUS-1493700,$0
CUS-1494100,$0
CUS-160250,"$877,367"
CUS-1454050,"$164,054"
CUS-927800,$0
CUS-552650,"$517,966"
CUS-552600,$0
CUS-1496400,$0
CUS-796350,$0
CUS-1437150,"$37,114"
CUS-908950,"$95,813"
CUS-1515050,"$13,581"
CUS-505000,"$1,069,502"
CUS-166050,"$35,053"
CUS-1497650,"$222,132"
CUS-1019500,"$11,020,483"
CUS-378850,$0
CUS-1503950,"$570,660"
CUS-1453650,$0
CUS-329450,"$262,587"
CUS-703450,$0
CUS-703500,$0
CUS-703400,$0
CUS-1501200,$0
CUS-828400,$0
CUS-1234250,"$24,529"
CUS-565500,$0
CUS-1103750,"$672,675"
CUS-927700,"$56,673"
CUS-160200,"$441,021"
CUS-1444600,"$59,025"
CUS-230500,"$32,546"
CUS-236800,"$3,229,801"
CUS-224800,"$29,361"
CUS-346400,$0
CUS-701050,"$2,037"
CUS-1149100,"$317,121"
CUS-440800,$0
CUS-1517050,"$209,828"
CUS-578400,"$786,337"
CUS-155350,"$358,561"
CUS-1600300,$11
CUS-1449100,$0
CUS-1588050,"$15,975"
CUS-155850,"$9,050"
CUS-547550,"$95,929"
CUS-349050,"$67,667"
CUS-1290050,"$27,700"
CUS-1476450,$0
CUS-1476150,$974
CUS-672900,$0
CUS-158850,"$797,309"
CUS-986100,"$138,302"
