Customer ID,Year,Quarter,Survey Date,Response Date,How likely are you to recommend insider to a friend or colleague ,How would you rate the value you gain from our company,How frequently are you using our platform,Please rate the overall quality of our products,Please rate the usability of the panel,Please rate your understanding of our reporting capabilities in the panel
CUS-1470950,2022,1,2022-01-01,2022-03-25,4,3,Once a Day,2,3.0,I need someone from Insider team to provide me the report from the panel
CUS-1470950,2022,3,2022-07-01,2022-09-30,6,3,Once a Week,4,4.0,I tried but could not find everything I need
CUS-1470950,2022,2,2022-04-01,2022-06-23,10,5,Once a Day,4,3.0,I need someone from Insider team to provide me the report from the panel
CUS-1470950,2022,1,2022-01-01,2022-03-28,7,4,Once a Day,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1470950,2022,1,2022-01-01,2022-03-28,9,5,Once a Week,5,5.0,I am able to report everything easily
CUS-1470950,2022,3,2022-07-01,2022-08-05,8,4,Once a Week,4,4.0,I tried but could not find everything I need
CUS-1526100,2022,2,2022-04-01,2022-06-06,10,5,Once a Month,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-1526100,2022,3,2022-07-01,2022-09-30,9,4,Once a Week,4,4.0,I am able to report everything easily
CUS-1526100,2022,3,2022-07-01,2022-09-27,10,5,Once a Day,5,3.0,"I can pull all the numbers, but don't understand them"
CUS-1526100,2022,2,2022-04-01,2022-06-06,7,4,Once a Month,4,3.0,"I can pull all the numbers, but don't understand them"
CUS-1430550,2022,3,2022-07-01,2022-08-04,6,4,Once a Month,3,3.0,I need someone from Insider team to provide me the report from the panel
CUS-1430550,2022,3,2022-07-01,2022-09-20,10,5,Once a Week,5,5.0,"I can pull all the numbers, but don't understand them"
CUS-1430550,2022,1,2022-01-01,2022-03-01,8,4,Once a Day,4,4.0,"I can pull all the numbers, but don't understand them"
CUS-1430550,2022,1,2022-01-01,2022-03-21,8,4,Once a Day,4,4.0,"I can pull all the numbers, but don't understand them"
CUS-1430550,2022,1,2022-01-01,2022-03-01,9,4,Once a Week,5,4.0,I don't use it often
CUS-1430550,2022,1,2022-01-01,2022-03-21,9,4,Once a Week,5,4.0,I don't use it often
CUS-1430550,2022,2,2022-04-01,2022-05-17,8,5,Once a Day,5,4.0,I am able to report everything easily
CUS-1430550,2022,3,2022-07-01,2022-08-04,9,5,Once a Week,5,4.0,I don't use it often
CUS-1490400,2022,1,2022-01-01,2022-03-01,8,4,Once a Day,4,3.0,"I can pull all the numbers, but don't understand them"
CUS-1490400,2022,1,2022-01-01,2022-03-01,7,4,Once a Week,3,2.0,"I can pull all the numbers, but don't understand them"
CUS-1468500,2022,2,2022-04-01,2022-05-31,8,4,Once a Week,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1468500,2022,3,2022-07-01,2022-09-27,8,4,Once a Week,4,3.0,I need someone from Insider team to provide me the report from the panel
CUS-1468500,2022,2,2022-04-01,2022-06-16,7,4,Once a Week,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1468500,2022,3,2022-07-01,2022-08-14,8,4,Once a Week,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1455050,2022,1,2022-01-01,2022-02-01,9,4,Once a Month,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1455050,2022,1,2022-01-01,2022-03-21,9,4,Once a Month,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1455050,2022,2,2022-04-01,2022-06-21,9,4,Once a Week,4,4.0,"I can pull all the numbers, but don't understand them"
CUS-1455050,2022,2,2022-04-01,2022-05-02,8,4,Once a Week,4,4.0,I tried but could not find everything I need
CUS-1455050,2022,3,2022-07-01,2022-09-28,8,4,Once a Week,4,4.0,I don't use it often
CUS-1455050,2022,3,2022-07-01,2022-09-28,8,4,Once a Week,4,3.0,I don't use it often
CUS-1487050,2022,3,2022-07-01,2022-09-25,8,3,Once a Month,3,3.0,"I can pull all the numbers, but don't understand them"
CUS-912150,2022,3,2022-07-01,2022-07-01,7,4,Once a Day,3,3.0,I tried but could not find everything I need
CUS-1130700,2022,3,2022-07-01,2022-09-26,10,5,Once a Week,5,5.0,I am able to report everything easily
CUS-1434900,2022,1,2022-01-01,2022-03-21,7,3,Once a Week,4,4.0,I tried but could not find everything I need
CUS-1434900,2022,1,2022-01-01,2022-03-31,8,5,Once a Week,4,4.0,I am able to report everything easily
CUS-1434900,2022,1,2022-01-01,2022-03-21,7,4,Once a Week,4,3.0,I don't use it often
CUS-1435400,2022,3,2022-07-01,2022-09-28,9,5,Once a Day,5,4.0,I am able to report everything easily
CUS-355050,2022,2,2022-04-01,2022-04-12,5,4,Once a Day,4,4.0,"I can pull all the numbers, but don't understand them"
CUS-355050,2022,3,2022-07-01,2022-09-20,7,3,Once a Day,3,4.0,I tried but could not find everything I need
CUS-1451500,2022,1,2022-01-01,2022-03-21,9,4,Once a Week,5,4.0,I am able to report everything easily
CUS-1097250,2022,2,2022-04-01,2022-06-15,7,5,Once a Week,4,3.0,I am able to report everything easily
CUS-1097250,2022,3,2022-07-01,2022-09-30,8,4,Once a Day,3,2.0,I need someone from Insider team to provide me the report from the panel
CUS-1489100,2022,2,2022-04-01,2022-06-29,10,5,Once a Day,4,5.0,I am able to report everything easily
CUS-1489100,2022,3,2022-07-01,2022-08-30,9,4,Once a Week,4,4.0,"I can pull all the numbers, but don't understand them"
CUS-1489100,2022,1,2022-01-01,2022-03-21,8,5,Once a Day,5,4.0,I am able to report everything easily
CUS-1489100,2022,2,2022-04-01,2022-06-28,7,4,Once a Week,4,3.0,I am able to report everything easily
CUS-1489100,2022,3,2022-07-01,2022-08-30,8,4,Once a Month,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1520400,2022,3,2022-07-01,2022-09-08,8,4,Once a Month,4,4.0,I tried but could not find everything I need
CUS-1520400,2022,3,2022-07-01,2022-09-20,10,5,Once a Week,5,4.0,I am able to report everything easily
CUS-1520400,2022,3,2022-07-01,2022-09-08,6,4,Once a Week,3,3.0,I tried but could not find everything I need
CUS-1520700,2022,3,2022-07-01,2022-08-05,7,4,Once a Day,3,4.0,I am able to report everything easily
CUS-1520700,2022,3,2022-07-01,2022-09-09,6,3,Once a Day,3,4.0,I am able to report everything easily
CUS-150500,2022,1,2022-01-01,2022-02-01,7,3,Once a Day,3,2.0,I tried but could not find everything I need
CUS-150500,2022,2,2022-04-01,2022-06-28,7,3,Once a Day,3,2.0,I tried but could not find everything I need
CUS-150500,2022,3,2022-07-01,2022-08-05,7,3,Once a Day,3,2.0,I need someone from Insider team to provide me the report from the panel
CUS-150500,2022,1,2022-01-01,2022-02-01,8,3,Once a Day,4,2.0,I don't use it often
CUS-150500,2022,2,2022-04-01,2022-04-18,5,3,Once a Day,3,2.0,I don't use it often
CUS-150500,2022,3,2022-07-01,2022-08-23,8,3,Once a Day,3,2.0,I need someone from Insider team to provide me the report from the panel
CUS-152900,2022,2,2022-04-01,2022-06-09,7,3,Once a Month,3,3.0,I don't use it often
CUS-152900,2022,2,2022-04-01,2022-04-05,6,3,Once a Day,3,4.0,I am able to report everything easily
CUS-152900,2022,3,2022-07-01,2022-08-25,8,4,Once a Day,4,4.0,I am able to report everything easily
CUS-152900,2022,2,2022-04-01,2022-04-25,10,5,Once a Week,5,5.0,I don't use it often
CUS-152900,2022,3,2022-07-01,2022-09-06,8,5,Once a Week,5,5.0,I don't use it often
CUS-1490450,2022,3,2022-07-01,2022-07-05,6,4,Once a Week,3,2.0,I tried but could not find everything I need
CUS-1490450,2022,2,2022-04-01,2022-06-20,9,4,Once a Week,4,3.0,I tried but could not find everything I need
CUS-1490450,2022,3,2022-07-01,2022-09-05,9,4,Once a Week,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1436600,2022,2,2022-04-01,2022-06-10,8,5,Once a Week,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-1436600,2022,3,2022-07-01,2022-09-02,9,5,Once a Week,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-183300,2022,3,2022-07-01,2022-09-19,5,3,Once a Week,3,4.0,I need someone from Insider team to provide me the report from the panel
CUS-183300,2022,2,2022-04-01,2022-05-21,8,4,Once a Day,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1478900,2022,3,2022-07-01,2022-09-30,8,4,Once a Day,3,4.0,"I can pull all the numbers, but don't understand them"
CUS-1478900,2022,1,2022-01-01,2022-02-01,9,5,Once a Day,5,5.0,I don't use it often
CUS-1499500,2022,3,2022-07-01,2022-09-05,9,5,Once a Day,5,5.0,I am able to report everything easily
CUS-1497450,2022,3,2022-07-01,2022-09-26,10,5,Once a Week,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-463500,2022,2,2022-04-01,2022-05-26,10,4,Once a Week,5,4.0,I am able to report everything easily
CUS-1456200,2022,1,2022-01-01,2022-03-01,6,3,Once a Month,3,,I don't use it often
CUS-1456200,2022,1,2022-01-01,2022-03-21,6,3,Once a Month,3,,I don't use it often
CUS-1456200,2022,2,2022-04-01,2022-06-22,6,4,Once a Day,4,4.0,I don't use it often
CUS-1456200,2022,3,2022-07-01,2022-08-05,8,4,Once a Day,4,4.0,I am able to report everything easily
CUS-1485400,2022,2,2022-04-01,2022-04-25,9,4,Once a Month,4,4.0,I tried but could not find everything I need
CUS-159850,2022,2,2022-04-01,2022-05-31,7,4,Once a Day,4,3.0,"I can pull all the numbers, but don't understand them"
CUS-159850,2022,3,2022-07-01,2022-09-16,10,5,Once a Day,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-159850,2022,2,2022-04-01,2022-06-24,8,4,Once a Week,4,4.0,I tried but could not find everything I need
CUS-1491900,2022,3,2022-07-01,2022-09-07,8,5,Once a Week,5,5.0,I am able to report everything easily
CUS-1489250,2022,2,2022-04-01,2022-06-28,9,5,Once a Day,5,5.0,I am able to report everything easily
CUS-1489250,2022,3,2022-07-01,2022-08-30,8,5,Once a Week,5,5.0,I am able to report everything easily
CUS-1489250,2022,1,2022-01-01,2022-03-31,8,4,Once a Day,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1501100,2022,1,2022-01-01,2022-02-01,9,5,Once a Week,5,,"I can pull all the numbers, but don't understand them"
CUS-1501100,2022,3,2022-07-01,2022-09-29,8,4,Once a Week,4,5.0,"I can pull all the numbers, but don't understand them"
CUS-1481050,2022,1,2022-01-01,2022-03-01,6,3,Once a Day,3,3.0,I tried but could not find everything I need
CUS-1481050,2022,1,2022-01-01,2022-03-21,6,3,Once a Day,3,3.0,I tried but could not find everything I need
CUS-845700,2022,1,2022-01-01,2022-03-29,9,4,Once a Day,4,4.0,I am able to report everything easily
CUS-845700,2022,2,2022-04-01,2022-04-18,8,5,Once a Day,5,5.0,I am able to report everything easily
CUS-845700,2022,3,2022-07-01,2022-09-01,8,5,Once a Day,5,5.0,I am able to report everything easily
CUS-845700,2022,3,2022-07-01,2022-09-05,8,5,Once a Day,5,5.0,I am able to report everything easily
CUS-845700,2022,1,2022-01-01,2022-03-28,10,5,Once a Day,0,4.0,I am able to report everything easily
CUS-845700,2022,2,2022-04-01,2022-06-09,8,4,Once a Week,5,5.0,I am able to report everything easily
CUS-845700,2022,3,2022-07-01,2022-07-05,8,5,Once a Week,5,5.0,I am able to report everything easily
CUS-845700,2022,1,2022-01-01,2022-03-28,8,5,Once a Week,4,2.0,I need someone from Insider team to provide me the report from the panel
CUS-1481750,2022,2,2022-04-01,2022-06-23,8,4,Once a Week,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1481750,2022,3,2022-07-01,2022-09-22,9,5,Once a Month,4,4.0,I don't use it often
CUS-1481750,2022,3,2022-07-01,2022-09-30,9,5,Once a Week,4,4.0,I am able to report everything easily
CUS-1442100,2022,1,2022-01-01,2022-03-01,9,5,Once a Week,5,4.0,I am able to report everything easily
CUS-1442100,2022,2,2022-04-01,2022-06-14,9,5,Once a Day,4,4.0,I am able to report everything easily
CUS-783250,2022,1,2022-01-01,2022-02-01,9,4,Once a Week,4,,"I can pull all the numbers, but don't understand them"
CUS-783250,2022,1,2022-01-01,2022-02-01,9,5,Once a Day,5,4.0,I don't use it often
CUS-1478200,2022,2,2022-04-01,2022-04-15,8,5,Once a Day,4,4.0,I don't use it often
CUS-1478200,2022,3,2022-07-01,2022-09-02,10,5,Once a Day,5,4.0,"I can pull all the numbers, but don't understand them"
CUS-372100,2022,1,2022-01-01,2022-03-30,7,3,Once a Week,4,5.0,I need someone from Insider team to provide me the report from the panel
CUS-372100,2022,2,2022-04-01,2022-06-28,10,5,Once a Week,4,5.0,I tried but could not find everything I need
CUS-372100,2022,1,2022-01-01,2022-03-30,10,5,Once a Month,5,5.0,I am able to report everything easily
CUS-372100,2022,3,2022-07-01,2022-07-01,10,5,Once a Month,5,5.0,"I can pull all the numbers, but don't understand them"
CUS-1454050,2022,3,2022-07-01,2022-09-07,10,5,Once a Month,5,3.0,I need someone from Insider team to provide me the report from the panel
CUS-1487700,2022,3,2022-07-01,2022-09-20,3,2,Once a Day,2,4.0,I am able to report everything easily
CUS-401300,2022,1,2022-01-01,2022-03-30,10,5,Once a Month,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-552650,2022,2,2022-04-01,2022-04-25,9,4,Once a Month,4,4.0,I tried but could not find everything I need
CUS-552650,2022,2,2022-04-01,2022-05-29,7,4,Once a Day,4,4.0,I tried but could not find everything I need
CUS-552650,2022,3,2022-07-01,2022-09-22,10,5,Once a Day,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-552600,2022,2,2022-04-01,2022-05-24,6,3,Once a Day,3,3.0,I need someone from Insider team to provide me the report from the panel
CUS-796350,2022,2,2022-04-01,2022-04-25,9,4,Once a Month,4,4.0,I tried but could not find everything I need
CUS-1437150,2022,3,2022-07-01,2022-07-04,8,5,Once a Week,5,5.0,I am able to report everything easily
CUS-505000,2022,1,2022-01-01,2022-03-21,8,4,Once a Month,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-505000,2022,2,2022-04-01,2022-05-17,8,4,Once a Month,4,4.0,I tried but could not find everything I need
CUS-505000,2022,2,2022-04-01,2022-05-17,8,3,Once a Week,3,3.0,I don't use it often
CUS-277800,2022,2,2022-04-01,2022-06-23,10,5,Once a Day,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-277800,2022,3,2022-07-01,2022-09-06,10,5,Once a Day,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-277800,2022,1,2022-01-01,2022-03-31,10,5,Once a Week,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-166050,2022,1,2022-01-01,2022-03-01,9,4,Once a Week,4,4.0,I am able to report everything easily
CUS-166050,2022,3,2022-07-01,2022-09-30,8,4,Once a Week,4,3.0,I am able to report everything easily
CUS-166050,2022,3,2022-07-01,2022-09-12,10,5,Once a Day,5,3.0,I tried but could not find everything I need
CUS-166050,2022,3,2022-07-01,2022-09-05,10,5,Once a Week,4,5.0,I need someone from Insider team to provide me the report from the panel
CUS-166050,2022,3,2022-07-01,2022-09-14,10,5,Once a Day,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-166050,2022,1,2022-01-01,2022-03-01,8,4,Once a Week,4,5.0,I need someone from Insider team to provide me the report from the panel
CUS-166050,2022,2,2022-04-01,2022-05-30,10,5,Once a Day,5,5.0,I tried but could not find everything I need
CUS-1497650,2022,1,2022-01-01,2022-03-21,9,3,Once a Week,3,3.0,"I can pull all the numbers, but don't understand them"
CUS-1019500,2022,2,2022-04-01,2022-05-31,10,5,Once a Day,5,5.0,I am able to report everything easily
CUS-1019500,2022,1,2022-01-01,2022-03-01,8,4,Once a Day,4,,I am able to report everything easily
CUS-1019500,2022,1,2022-01-01,2022-03-21,8,4,Once a Day,4,,I am able to report everything easily
CUS-1019500,2022,2,2022-04-01,2022-06-01,8,4,Once a Day,4,4.0,I am able to report everything easily
CUS-378850,2022,2,2022-04-01,2022-05-31,10,5,Once a Month,5,4.0,I need someone from Insider team to provide me the report from the panel
CUS-378850,2022,3,2022-07-01,2022-09-12,9,4,Once a Month,4,3.0,I need someone from Insider team to provide me the report from the panel
CUS-1453650,2022,3,2022-07-01,2022-09-01,4,3,Once a Week,2,2.0,I am able to report everything easily
CUS-1453650,2022,1,2022-01-01,2022-03-28,7,5,Once a Day,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1453650,2022,2,2022-04-01,2022-06-30,4,2,Once a Week,2,2.0,I tried but could not find everything I need
CUS-1453650,2022,3,2022-07-01,2022-09-29,7,3,Once a Day,3,4.0,I tried but could not find everything I need
CUS-1453700,2022,2,2022-04-01,2022-06-24,7,3,Once a Day,3,3.0,I am able to report everything easily
CUS-329450,2022,3,2022-07-01,2022-09-29,8,4,Once a Day,4,4.0,I tried but could not find everything I need
CUS-329450,2022,1,2022-01-01,2022-02-01,9,5,Once a Day,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-329450,2022,2,2022-04-01,2022-05-20,10,5,Once a Week,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-329450,2022,3,2022-07-01,2022-08-23,10,4,Once a Week,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-329450,2022,2,2022-04-01,2022-06-06,10,5,Once a Week,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-703400,2022,2,2022-04-01,2022-06-29,10,5,Once a Day,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-1501200,2022,2,2022-04-01,2022-06-23,7,3,Once a Month,3,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1501200,2022,3,2022-07-01,2022-09-16,8,4,Once a Week,4,5.0,I need someone from Insider team to provide me the report from the panel
CUS-1501200,2022,2,2022-04-01,2022-05-30,10,5,Once a Day,3,5.0,I need someone from Insider team to provide me the report from the panel
CUS-1501200,2022,3,2022-07-01,2022-08-29,8,5,Once a Day,3,5.0,I need someone from Insider team to provide me the report from the panel
CUS-828400,2022,2,2022-04-01,2022-04-17,8,4,Once a Day,4,3.0,I tried but could not find everything I need
CUS-828400,2022,3,2022-07-01,2022-08-30,9,5,Once a Day,4,4.0,I tried but could not find everything I need
CUS-828400,2022,3,2022-07-01,2022-09-06,9,5,Once a Day,4,4.0,I am able to report everything easily
CUS-828400,2022,3,2022-07-01,2022-07-06,7,4,Once a Week,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1468800,2022,3,2022-07-01,2022-09-07,9,5,Once a Week,4,4.0,I tried but could not find everything I need
CUS-1468800,2022,3,2022-07-01,2022-09-07,8,4,Once a Day,5,5.0,I am able to report everything easily
CUS-1468800,2022,2,2022-04-01,2022-06-29,9,5,Once a Week,5,5.0,I am able to report everything easily
CUS-565500,2022,1,2022-01-01,2022-03-31,10,4,Once a Day,5,5.0,I am able to report everything easily
CUS-565500,2022,2,2022-04-01,2022-06-28,10,5,Once a Week,5,5.0,I am able to report everything easily
CUS-565500,2022,3,2022-07-01,2022-09-24,8,4,Once a Day,3,4.0,I need someone from Insider team to provide me the report from the panel
CUS-565500,2022,2,2022-04-01,2022-06-28,9,5,Once a Week,5,5.0,I tried but could not find everything I need
CUS-565500,2022,3,2022-07-01,2022-09-23,6,4,Once a Day,3,3.0,I tried but could not find everything I need
CUS-1103750,2022,2,2022-04-01,2022-06-24,9,5,Once a Month,5,4.0,"I can pull all the numbers, but don't understand them"
CUS-1103750,2022,3,2022-07-01,2022-09-21,8,5,Once a Week,4,3.0,I am able to report everything easily
CUS-1103750,2022,2,2022-04-01,2022-06-08,8,4,Once a Day,5,3.0,I don't use it often
CUS-927700,2022,1,2022-01-01,2022-02-01,9,5,Once a Day,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-927700,2022,1,2022-01-01,2022-02-01,9,4,Once a Week,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-927800,2022,2,2022-04-01,2022-05-26,7,4,Once a Day,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-927800,2022,3,2022-07-01,2022-09-05,5,3,Once a Day,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-927800,2022,2,2022-04-01,2022-06-07,7,4,Once a Day,4,5.0,I need someone from Insider team to provide me the report from the panel
CUS-1446950,2022,2,2022-04-01,2022-06-30,7,3,Once a Day,3,4.0,I am able to report everything easily
CUS-1446950,2022,3,2022-07-01,2022-09-29,7,4,Once a Week,4,4.0,I am able to report everything easily
CUS-1444600,2022,3,2022-07-01,2022-09-22,8,4,Once a Month,4,4.0,"I can pull all the numbers, but don't understand them"
CUS-1444600,2022,2,2022-04-01,2022-05-02,7,4,Once a Week,4,4.0,I am able to report everything easily
CUS-1444600,2022,1,2022-01-01,2022-03-01,10,5,Once a Week,5,4.0,I am able to report everything easily
CUS-1444600,2022,1,2022-01-01,2022-03-21,10,5,Once a Week,5,4.0,I am able to report everything easily
CUS-1444600,2022,2,2022-04-01,2022-06-21,10,5,Once a Week,4,4.0,I am able to report everything easily
CUS-230500,2022,3,2022-07-01,2022-09-12,10,5,Once a Month,4,4.0,I tried but could not find everything I need
CUS-230500,2022,2,2022-04-01,2022-06-22,10,5,Once a Week,4,4.0,I don't use it often
CUS-230500,2022,1,2022-01-01,2022-03-31,10,5,Once a Month,5,5.0,I don't use it often
CUS-230500,2022,2,2022-04-01,2022-06-06,7,3,Once a Month,3,4.0,I need someone from Insider team to provide me the report from the panel
CUS-230500,2022,3,2022-07-01,2022-09-12,6,4,Once a Month,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-547850,2022,3,2022-07-01,2022-09-15,10,5,Once a Month,5,5.0,I don't use it often
CUS-701050,2022,2,2022-04-01,2022-05-30,8,4,Once a Day,5,4.0,I am able to report everything easily
CUS-701050,2022,3,2022-07-01,2022-07-07,9,4,Once a Day,4,5.0,I am able to report everything easily
CUS-701050,2022,1,2022-01-01,2022-03-01,10,5,Once a Day,0,,I don't use it often
CUS-701050,2022,1,2022-01-01,2022-03-01,9,4,Once a Day,4,4.0,I don't use it often
CUS-701050,2022,1,2022-01-01,2022-03-21,9,4,Once a Day,4,4.0,I don't use it often
CUS-701050,2022,2,2022-04-01,2022-05-19,7,4,Once a Day,4,3.0,I tried but could not find everything I need
CUS-701050,2022,3,2022-07-01,2022-08-05,7,4,Once a Day,4,4.0,I tried but could not find everything I need
CUS-1149100,2022,2,2022-04-01,2022-06-29,8,4,Once a Week,5,5.0,I am able to report everything easily
CUS-1149100,2022,1,2022-01-01,2022-03-23,8,4,Once a Day,5,4.0,I tried but could not find everything I need
CUS-1149100,2022,1,2022-01-01,2022-03-28,8,4,Once a Day,3,4.0,I tried but could not find everything I need
CUS-1149100,2022,2,2022-04-01,2022-06-08,7,4,Once a Day,4,3.0,I am able to report everything easily
CUS-1149100,2022,3,2022-07-01,2022-08-25,8,4,Once a Day,4,4.0,I am able to report everything easily
CUS-1149100,2022,3,2022-07-01,2022-09-27,10,5,Once a Day,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-578400,2022,2,2022-04-01,2022-06-30,10,5,Once a Week,4,5.0,I need someone from Insider team to provide me the report from the panel
CUS-578400,2022,3,2022-07-01,2022-07-05,9,5,Once a Week,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-578400,2022,1,2022-01-01,2022-02-01,8,5,Once a Day,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-578400,2022,2,2022-04-01,2022-06-17,9,4,Once a Week,4,5.0,I need someone from Insider team to provide me the report from the panel
CUS-578400,2022,3,2022-07-01,2022-09-12,9,5,Once a Week,5,4.0,I need someone from Insider team to provide me the report from the panel
CUS-155350,2022,1,2022-01-01,2022-03-21,8,5,Once a Month,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-155350,2022,2,2022-04-01,2022-06-20,8,4,Once a Week,4,4.0,I am able to report everything easily
CUS-155350,2022,3,2022-07-01,2022-09-26,8,5,Once a Month,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-155350,2022,3,2022-07-01,2022-09-26,7,5,Once a Day,4,4.0,I tried but could not find everything I need
CUS-155350,2022,2,2022-04-01,2022-06-20,5,3,Once a Day,3,3.0,I need someone from Insider team to provide me the report from the panel
CUS-155350,2022,3,2022-07-01,2022-09-26,7,4,Once a Day,3,3.0,I need someone from Insider team to provide me the report from the panel
CUS-1290050,2022,1,2022-01-01,2022-03-21,8,4,Once a Day,4,4.0,I am able to report everything easily
CUS-1290050,2022,2,2022-04-01,2022-06-28,8,5,Once a Day,4,3.0,"I can pull all the numbers, but don't understand them"
