Customer ID,Status,Customer Level
CUS-1471650,Onboarding,Enterprise
CUS-1087300,Churn,Semi-Enterprise
CUS-230550,Churn,Long-tail
CUS-1470950,Retained,Enterprise
CUS-1526100,Retained,Semi-Enterprise
CUS-1507900,Churn,Long-tail
CUS-1430550,Retained,Semi-Enterprise
CUS-484050,Churn,Long-tail
CUS-1485600,Retained,Enterprise
CUS-1479150,Churn,Enterprise
CUS-1485450,Churn,Enterprise
CUS-1485500,Churn,Enterprise
CUS-1548450,Retained,Enterprise
CUS-1521000,Retained,Long-tail
CUS-1513350,Retained,Enterprise
CUS-429950,Churn,Enterprise
CUS-343100,Churn,Long-tail
CUS-445700,Churn,Long-tail
CUS-1497700,Onboarding,Enterprise
CUS-1459650,Churn,Long-tail
CUS-1490400,Retained,Semi-Enterprise
CUS-1514100,Retained,Semi-Enterprise
CUS-1468500,Retained,Long-tail
CUS-1530300,Retained,Long-tail
CUS-1455050,Churn,Semi-Enterprise
CUS-1487050,Retained,Semi-Enterprise
CUS-1482350,Retained,Enterprise
CUS-1434900,Retained,Long-tail
CUS-5452900,Churn,Long-tail
CUS-1435400,Retained,Long-tail
CUS-1554450,Onboarding,Enterprise
CUS-552050,Churn,Long-tail
CUS-542600,Churn,Long-tail
CUS-289800,Churn,Enterprise
CUS-355050,Retained,Enterprise
CUS-1451500,Retained,Enterprise
CUS-1399350,Churn,Long-tail
CUS-826800,Churn,Enterprise
CUS-759650,Churn,Semi-Enterprise
CUS-1097250,Churn,Enterprise
CUS-1454500,Churn,Long-tail
CUS-1489100,Retained,Enterprise
CUS-1589350,Retained,Semi-Enterprise
CUS-1396700,Churn,Semi-Enterprise
CUS-957200,Churn,Enterprise
CUS-527200,Churn,Enterprise
CUS-332600,Churn,Long-tail
CUS-383850,Churn,Enterprise
CUS-1520400,Retained,Enterprise
CUS-1517150,Retained,Long-tail
CUS-205000,Churn,Long-tail
CUS-1520650,Retained,Enterprise
CUS-1464300,Churn,Long-tail
CUS-150500,Retained,Enterprise
CUS-152900,Retained,Enterprise
CUS-1551100,Onboarding,Enterprise
CUS-1575550,Onboarding,Semi-Enterprise
CUS-1523550,Retained,Enterprise
CUS-1161800,Churn,Enterprise
CUS-183300,Retained,Semi-Enterprise
CUS-1478900,Retained,Long-tail
CUS-1160350,Churn,Enterprise
CUS-350250,Churn,Long-tail
CUS-1497450,Retained,Semi-Enterprise
CUS-158950,Churn,Long-tail
CUS-1458050,Churn,Semi-Enterprise
CUS-1456200,Retained,Enterprise
CUS-1485400,Retained,Long-tail
CUS-703550,Churn,Semi-Enterprise
CUS-534000,Churn,Long-tail
CUS-154450,Churn,Enterprise
CUS-1481250,Churn,Enterprise
CUS-159850,Retained,Semi-Enterprise
CUS-1570500,Retained,Semi-Enterprise
CUS-175100,Churn,Long-tail
CUS-1491900,Retained,Semi-Enterprise
CUS-387950,Churn,Long-tail
CUS-1455350,Churn,Long-tail
CUS-1489250,Retained,Semi-Enterprise
CUS-1516200,Retained,Semi-Enterprise
CUS-1445650,Retained,Enterprise
CUS-1573650,Retained,Enterprise
CUS-1589700,Retained,Enterprise
CUS-1528550,Onboarding,Enterprise
CUS-706700,Churn,Semi-Enterprise
CUS-1489400,Retained,Semi-Enterprise
CUS-1501100,Retained,Enterprise
CUS-1559050,Retained,Enterprise
CUS-1497250,Churn,Enterprise
CUS-1528350,Onboarding,Enterprise
CUS-1481050,Retained,Semi-Enterprise
CUS-1481600,Onboarding,Semi-Enterprise
CUS-845700,Retained,Long-tail
CUS-1510450,Churn,Enterprise
CUS-1559300,Retained,Semi-Enterprise
CUS-570900,Churn,Semi-Enterprise
CUS-476900,Retained,Enterprise
CUS-1481750,Retained,Long-tail
CUS-168600,Churn,Long-tail
CUS-309400,Churn,Long-tail
CUS-152150,Churn,Enterprise
CUS-175150,Churn,Long-tail
CUS-175250,Churn,Long-tail
CUS-175200,Churn,Long-tail
CUS-1511700,Churn,Long-tail
CUS-1442100,Retained,Semi-Enterprise
CUS-1607850,Retained,Semi-Enterprise
CUS-1575050,Onboarding,Long-tail
CUS-783250,Retained,Enterprise
CUS-1328050,Churn,Semi-Enterprise
CUS-1450800,Churn,Semi-Enterprise
CUS-372100,Retained,Enterprise
CUS-1515900,Retained,Long-tail
CUS-1493700,Retained,Semi-Enterprise
CUS-1494100,Retained,Long-tail
CUS-160250,Retained,Enterprise
CUS-259600,Churn,Long-tail
CUS-1454050,Retained,Enterprise
CUS-157650,Churn,Long-tail
CUS-1460000,Churn,Semi-Enterprise
CUS-1487700,Retained,Enterprise
CUS-397600,Churn,Long-tail
CUS-401300,Churn,Long-tail
