Customer ID,Product Bug Task Count
CUS-1526150,179
CUS-1477300,150
CUS-1450300,66
CUS-661350,116
CUS-329450,101
CUS-591000,158
CUS-1467900,62
CUS-1470050,180
CUS-1453650,58
CUS-1444700,119
CUS-1019500,165
CUS-387600,144
CUS-1494150,90
CUS-1485050,53
CUS-1491100,116
CUS-1444400,189
CUS-1454650,108
CUS-1450750,145
CUS-355050,80
CUS-167000,131
CUS-515050,193
CUS-271550,161
CUS-1455100,116
CUS-1438700,173
CUS-1449400,138
CUS-1438700,145
CUS-387600,183
CUS-1446950,76
CUS-845700,31
CUS-1470800,96
CUS-241400,155
CUS-322550,150
CUS-1189650,164
CUS-726400,167
CUS-715900,183
CUS-1491900,139
CUS-902900,178
CUS-167000,161
CUS-1442350,117
CUS-1479600,159
CUS-1455050,159
CUS-272600,61
CUS-1461150,109
CUS-845700,119
CUS-169100,118
CUS-1486150,121
CUS-591000,146
CUS-150500,76
CUS-1494000,200
CUS-160150,176
CUS-1438550,177
CUS-1469800,88
CUS-608250,178
CUS-1438700,164
CUS-888350,31
CUS-1525900,77
CUS-462250,60
CUS-257050,169
CUS-1444600,116
CUS-1373400,165
CUS-1283250,180
CUS-1476750,121
CUS-1444350,190
CUS-1513100,146
CUS-156100,175
CUS-1525900,172
CUS-162100,71
CUS-303900,133
CUS-1507950,166
CUS-1526100,154
CUS-724550,181
CUS-1464100,164
CUS-1466350,175
CUS-1459400,169
CUS-150500,100
CUS-1484500,133
CUS-902900,192
CUS-166450,9
CUS-1459400,145
CUS-166050,170
CUS-1463400,185
CUS-1450100,196
CUS-950700,187
CUS-165750,112
CUS-907950,90
CUS-1283250,199
CUS-1463000,176
CUS-1496900,123
CUS-189700,97
CUS-304750,182
CUS-1459100,180
CUS-1455050,165
CUS-164850,178
CUS-237600,127
CUS-1500050,165
CUS-902900,200
CUS-1384400,154
CUS-1480300,178
CUS-1516650,189
CUS-1459100,157
CUS-1526200,160
CUS-1478700,91
CUS-828400,195
CUS-417200,111
CUS-563450,64
CUS-920750,139
CUS-920750,196
CUS-1438700,165
CUS-1487700,44
CUS-1472200,192
CUS-1293150,76
CUS-828400,163
CUS-1454650,177
CUS-578400,155
CUS-398000,132
CUS-164850,198
CUS-510050,199
CUS-1501150,194
CUS-244800,135
CUS-362300,164
CUS-1450500,135
CUS-1455100,115
CUS-558150,154
CUS-1478700,68
CUS-1493850,77
CUS-714500,196
CUS-1481750,175
CUS-1462000,173
CUS-1456450,162
CUS-1506200,174
CUS-156100,70
CUS-1510150,187
CUS-316250,127
CUS-1235500,99
CUS-1460300,65
CUS-349000,200
CUS-159200,154
CUS-1493800,152
CUS-152900,69
CUS-1509800,100
CUS-950450,180
CUS-606900,166
CUS-1206050,80
CUS-1485150,199
CUS-1453800,159
CUS-439300,182
CUS-378850,179
CUS-1476600,113
CUS-783450,88
CUS-1453900,65
CUS-1444350,131
CUS-160000,47
CUS-908900,187
CUS-281300,131
CUS-845700,135
CUS-1520400,168
CUS-1514800,158
CUS-902900,167
CUS-661350,148
CUS-1286600,76
CUS-1478050,109
CUS-1477650,142
CUS-1455300,42
CUS-1462300,143
CUS-1445750,160
CUS-1503100,199
CUS-1444400,186
CUS-1262600,135
CUS-303900,166
CUS-1482550,168
CUS-1455050,190
CUS-257050,192
CUS-1461950,135
CUS-190300,151
CUS-1481050,63
CUS-414650,134
CUS-1446500,198
CUS-1091150,63
CUS-160000,123
CUS-1466300,162
CUS-1486150,165
CUS-1507850,118
CUS-1514050,103
CUS-1453700,73
CUS-1468700,193
CUS-1513300,193
CUS-619650,164
CUS-362650,178
CUS-565500,82
CUS-596350,193
CUS-845700,141
CUS-1453800,179
CUS-692150,103
CUS-1476600,154
CUS-510050,184
CUS-1430500,191
CUS-1513450,108
CUS-1030400,193
CUS-169100,182
CUS-185300,109
CUS-158250,166
CUS-1470050,94
CUS-1476750,135
CUS-1451200,162
CUS-1478350,172
CUS-248500,145
CUS-1457100,138
CUS-172100,198
CUS-703400,123
CUS-1463600,139
CUS-1473900,115
CUS-1470800,71
CUS-1507250,109
CUS-845700,113
CUS-1493050,166
CUS-1459100,193
CUS-1179250,121
CUS-1019500,186
CUS-337900,121
CUS-165750,101
CUS-1472300,195
CUS-1500900,165
CUS-1456200,62
CUS-1242200,126
CUS-1496900,146
CUS-355050,183
CUS-1454650,151
CUS-160550,143
CUS-248500,135
CUS-513800,133
CUS-434600,171
CUS-1441000,91
CUS-1468700,165
CUS-1286600,162
CUS-155800,85
CUS-1501200,79
CUS-1502950,188
CUS-927800,166
CUS-795950,158
CUS-480100,196
CUS-1484950,154
CUS-1082550,81
CUS-230450,106
CUS-1082550,185
CUS-1469550,169
CUS-1500050,25
CUS-1444700,197
