Customer ID,Help Ticket Count,Help Ticket Lead Time (hours)
CUS-1470950,30,366
CUS-1526100,4,1206
CUS-1507900,7,486
CUS-1430550,3,467
CUS-1548450,14,381
CUS-1521000,3,952
CUS-1513350,3,946
CUS-1497700,2,574
CUS-1490400,14,737
CUS-1514100,12,1811
CUS-1468500,1,918
CUS-1455050,4,272
CUS-1487050,13,630
CUS-1434900,1,356
CUS-1554450,4,535
CUS-355050,13,981
CUS-1451500,22,417
CUS-1097250,21,444
CUS-1489100,7,1016
CUS-383850,2,443
CUS-1520400,8,742
CUS-1517150,10,406
CUS-1520650,7,521
CUS-150500,443,844
CUS-152900,42,986
CUS-1551100,5,929
CUS-1575550,13,110
CUS-1523550,5,91
CUS-183300,8,792
CUS-1478900,1,180
CUS-1160350,6,461
CUS-1497450,24,434
CUS-1458050,12,2221
CUS-1456200,72,814
CUS-534000,5,817
CUS-154450,2,578
CUS-1481250,38,1116
CUS-159850,2,1571
CUS-1491900,7,420
CUS-1489250,3,715
CUS-1445650,4,89
CUS-1573650,5,348
CUS-1589700,3,689
CUS-1528550,32,396
CUS-1489400,7,552
CUS-1501100,12,965
CUS-1559050,36,499
CUS-1497250,20,352
CUS-1481050,12,686
CUS-1481600,7,289
CUS-845700,23,852
CUS-1510450,33,247
CUS-1559300,1,19
CUS-476900,4,952
CUS-1481750,5,658
CUS-1511700,9,828
CUS-1328050,5,941
CUS-372100,5,1084
CUS-1493700,3,2277
CUS-1454050,17,580
CUS-401300,1,2027
CUS-1567800,9,238
CUS-1538850,6,508
CUS-552600,10,846
CUS-1496400,13,376
CUS-1459850,13,1852
CUS-1507050,11,1089
CUS-1507100,15,994
CUS-1507150,16,548
CUS-1056600,1,11
CUS-1437150,6,651
CUS-1502300,7,392
CUS-175300,1,1931
CUS-1600450,3,114
CUS-908950,7,901
CUS-1515050,4,365
CUS-505000,20,846
CUS-753900,7,4446
CUS-277800,25,712
CUS-166050,47,1160
CUS-1436600,7,910
CUS-1497650,20,753
CUS-1019500,34,372
CUS-1503950,8,1223
CUS-1453650,21,597
CUS-1598950,2,361
CUS-329450,57,907
CUS-703500,3,292
CUS-703400,2,158
CUS-370200,5,377
CUS-828400,2,312
CUS-1281200,6,1571
CUS-1468800,3,304
CUS-1234250,10,389
CUS-1103750,64,613
CUS-732750,1,1567
CUS-1474750,7,156
CUS-927750,10,898
CUS-927700,33,1239
CUS-1446950,13,1031
CUS-160200,12,975
CUS-1444600,4,1351
CUS-1516850,5,1277
CUS-230500,16,1371
CUS-236800,46,1367
CUS-547850,35,275
CUS-1484900,11,248
CUS-1280200,9,1201
CUS-346400,9,571
CUS-701050,5,1403
CUS-1149100,42,394
CUS-165100,3,539
CUS-1517050,29,715
CUS-1541700,3,1040
CUS-1539350,1,90
CUS-578400,44,1339
CUS-1552200,8,326
CUS-156350,2,631
CUS-155350,25,318
CUS-1600300,1,274
CUS-155850,16,597
CUS-547550,17,567
CUS-513750,20,375
CUS-1552950,9,687
CUS-349050,7,1242
CUS-1290050,61,844
CUS-1478100,16,366
CUS-1456350,22,532
CUS-1476150,25,471
CUS-672900,5,301
CUS-1585500,4,557
CUS-158850,14,605
CUS-1467900,17,341
CUS-986100,14,91
CUS-1502900,31,324
CUS-1495550,16,538
CUS-1514550,23,365
CUS-1441700,1,97
CUS-907950,2,720
CUS-1493050,7,417
CUS-1494150,52,569
CUS-1456750,4,845
CUS-337900,11,746
CUS-1483500,10,576
CUS-1485650,3,1954
CUS-1580550,1,99
CUS-1494000,82,415
CUS-1465200,6,517
CUS-1267350,5,166
CUS-1267450,6,1865
CUS-1569750,1,578
CUS-1468200,74,1326
CUS-1487450,1,216
CUS-198350,1,2129
CUS-1102150,5,107
CUS-1492200,1,710
CUS-1569550,1,183
CUS-1521500,11,548
CUS-329000,29,887
CUS-1437350,57,489
CUS-1460150,70,625
CUS-591000,28,750
CUS-1517800,6,467
CUS-1587550,3,315
CUS-1466750,15,380
CUS-556900,68,371
CUS-1559500,8,385
CUS-1496900,12,470
CUS-1471600,62,621
CUS-1490450,30,894
CUS-1458100,10,1593
CUS-1607100,3,1016
CUS-262450,14,678
CUS-1559900,2,272
CUS-1492450,1,384
CUS-1471400,9,1360
CUS-1494300,65,514
CUS-1537800,12,422
CUS-1502700,8,414
